ID,Name,Price_HUF,Registration_date,Age,Kilometers,Fuel_type,Performance_HP,Performance_kW,Cylinder_capacity_cm3,Transmission,Condition,Color,Nr_pictures,Link
411,FORD FOCUS 1.0 EcoBoost Technology S S (Automata) 2.800.000Ft+ÁFÁ!!--Magyarországi-1 tulaj--Frissen szervizelt--Alufelni,3485000,2016,4.75,93000,Benzin,125,92,999,Automata,Kitűnő,Kék,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_technology_s_s_automata_2_800_000ft_plusz_afa--magyarorszagi-1_tulaj--frissen_szervizelt--alufelni-16169713
412,FORD FOCUS 1.5 EcoBoost Technology MAGYARORSZÁGI!,3390000,2017,2.9160000000001673,179000,Benzin,150,110,1499,Manuális,Újszerű,null,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_ecoboost_technology_magyarorszagi-16287508
413,FORD FOCUS 1.0 GTDi EcoBoost Titanium,3390000,2015,5.416000000000167,93000,Benzin,125,92,999,Manuális,Megkímélt,Barna,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_gtdi_ecoboost_titanium-16303832
414,FORD FOCUS 1.0 EcoBoost Trend,3390000,2018,2.5,90277,Benzin,101,74,999,Manuális,Kitűnő,Szürke,11,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_trend-16313622
415,FORD FOCUS 1.6 Ti-VCT Trend,3299000,2015,5.5,85901,Benzin,105,77,1596,Manuális,Kitűnő,Fekete (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_trend-16183122
416,FORD FOCUS 1.6 Ti-VCT Technology ELSŐ TULAJ SZAKSZERVIZKÖNYV..ÜLÉSFŰTÉS.DUPLA KLIMA,3299000,2015,5.666000000000167,105000,Benzin,125,92,1596,Manuális,Kitűnő,Sötétszürke (metál),6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology_elso_tulaj_szakszervizkonyv_ulesfutes_dupla_klima-16185441
417,FORD FOCUS 1.6 Ti-VCT Champions,3290000,2014,6.416000000000167,99774,Benzin,125,92,1596,Manuális,Kitűnő,Sötétszürke (metál),6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_champions-15968886
418,FORD FOCUS 1.6 Ti-VCT Ambiente Újszerű//Szervizkönyv//Téli-nyári kerék,3290000,2015,5.75,75000,Benzin,87,64,1596,Manuális,Újszerű,null,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_ambiente_ujszeru_szervizkonyv_teli-nyari_kerek-16241749
419,FORD FOCUS 1.5 TDCI Technology Mo-i.Szkönyv.1.Tulaj.!,3279000,2017,3.25,96000,Dízel,95,70,1499,Manuális,Normál,Fehér,6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_technology_mo-i_szkonyv_1_tulaj-16241832
420,FORD FOCUS 1.0 EcoBoost Business Ülésfűtés/Kormányfűtés/Tol.radar,3269000,2017,3.3330000000000837,39300,Benzin,125,92,999,Manuális,Megkímélt,Ezüst (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_0_ecoboost_business_ulesfutes_kormanyfutes_tol_radar-16283024
421,FORD FOCUS 1.6 Ti-VCT Technology,3250000,2016,3.9160000000001673,83000,Benzin,125,92,1596,Manuális,Normál,null,3,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_technology-16297918
422,FORD FOCUS 1.5 TDCI Titanium /Beparkoló/Navi/Keyless,3199000,2017,3.6660000000001673,158879,Dízel,120,88,1499,Manuális,Sérülésmentes,Sötétszürke (metál),12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_titanium_beparkolo_navi_keyless-16287097
423,FORD FOCUS 1.6 Ti-VCT Ambiente /Magyarországi - Gyári Fényezéssel - Garantált - 20.900 KM!/,3199000,2014,6.5,20900,Benzin,105,77,1596,Manuális,Sérülésmentes,Ezüst (metál),10,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_6_ti-vct_ambiente_magyarorszagi_-_gyari_fenyezessel_-_garantalt_-_20_900_km-16281968
424,FORD FOCUS 1.5 TDCI Technology MAGYARORSZÁGI / GARANCIÁS / ÁFA-s,3182000,2016,4.333000000000084,134710,Dízel,95,70,1499,Manuális,Normál,Óceánkék (metál),6,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_technology_magyarorszagi_garancias_afa-s-16247092
425,FORD FOCUS 1.5 TDCI Titanium Magyar.1.Tulaj.Szervizköny.ÁFA,3150000,2017,3.1660000000001673,178000,Dízel,120,88,1499,Manuális,Sérülésmentes,Fehér,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_titanium_magyar_1_tulaj_szervizkony_afa-16264291
426,FORD FOCUS 1.5 TDCI '88g' Trend Econetic Mo-i. 1 Tul. ÁFA-s!,3090000,2015,4.833000000000084,81194,Dízel,105,77,1499,Manuális,Kitűnő,Piros,12,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_88g_trend_econetic_mo-i_1_tul_afa-s-16238974
427,FORD FOCUS 1.5 TDCI Technology NAVIGÁCIÓ. Tempomat. Parkradar körbe,3049000,2017,3.75,117500,Dízel,120,88,1499,Manuális,Normál,Sötétszürke (metál),10,https://www.hasznaltauto.hu/szemelyauto/ford/focus/ford_focus_1_5_tdci_technology_navigacio_tempomat_parkradar_korbe-16268991
