ID,Name,Price_HUF,Registration_date,Age,Color,Cylinder_capacity_cm3,Transmission,Performance_HP,Performance_kW,Nr_pictures,Condition,Fuel_type,Kilometers,Link
136,HONDA CIVIC 1.4 Sport Navi KAMERA.LED.FRISS.SZERVIZ,4690000,2016,4.583000000000084,Kék (metál),1339,Manuális,99,73,12,Sérülésmentes,Benzin,65600,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_sport_navi_kamera_led_friss_szerviz-15759087
137,HONDA CIVIC 1.8 Sport Plus PDC-T.KAMERA-Ü.FÜ-TÉLI-NYÁRI FELNI GARNITÚRA 82.000 KM DIGITALIS SZ.KÖNYV!,4599000,2015,5.583000000000084,Fekete (metál),1798,Manuális,141,104,12,Sérülésmentes,Benzin,82666,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_plus_pdc-t_kamera-u_fu-teli-nyari_felni_garnitura_82_000_km_digitalis_sz_konyv-16569685
138,HONDA CIVIC 1.4 Sport Navi Gyönyörű állapotban!,4590000,2016,4,Fehér (metál),1339,Manuális,99,73,12,Újszerű,Benzin,88222,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_sport_navi_gyonyoru_allapotban-16520946
139,HONDA CIVIC 1.8 Sport Mo-i - EGYGAZDÁS - CSUPÁN 33e km FUTÁS - 2023-IG GYÁRI GARANCIA!!!,4498000,2015,5.583000000000084,Barna (metál),1798,Manuális,141,104,12,Sérülésmentes,Benzin,33771,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_mo-i_-_egygazdas_-_csupan_33e_km_futas_-_2023-ig_gyari_garancia-16531020
140,HONDA CIVIC 1.8 Sport MAGYARORSZÁGI! TOLATÓKAMERA. ÜLÉSFŰTÉS. TEMPOMAT!,4490000,2015,5.666000000000167,Ezüst (metál),1798,Manuális,141,104,12,Sérülésmentes,Benzin,82450,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_magyarorszagi_tolatokamera_ulesfutes_tempomat-16492721
141,HONDA CIVIC 1.4 Comfort Magyarországi! ÁFA-s !!!,4490000,2016,4.166000000000167,Kék (metál),1339,Manuális,99,73,9,Normál,Benzin,104000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_magyarorszagi_afa-s-16538330
142,HONDA CIVIC 1.8 Lifestyle ADAS Törésmentes-Leinformálható valós 95ekm,4390000,2015,5.416000000000167,Bordó (metál),1798,Manuális,141,104,12,Sérülésmentes,Benzin,95500,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_lifestyle_adas_toresmentes-leinformalhato_valos_95ekm-16255091
143,HONDA CIVIC 1.8 Lifestyle ADAS Törésmentes-Leinformálható valós 95ekm,4390000,2015,5.416000000000167,Bordó (metál),1798,Manuális,141,104,12,Sérülésmentes,Benzin,95500,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_lifestyle_adas_toresmentes-leinformalhato_valos_95ekm-16396921
144,HONDA CIVIC 1.4 Comfort 46 000km!!!,4330000,2016,4.416000000000167,null,1339,Manuális,99,73,6,Kitűnő,Benzin,46000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_46_000km-16491570
145,HONDA CIVIC 1.6 i-DTEC Elegance EURO6 Törésmentes! 97ezerKm! Szervízkönyv!,4299999,2015,5.25,Barna (metál),1597,Manuális,120,88,5,Megkímélt,Dízel,97000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_i-dtec_elegance_euro6_toresmentes_97ezerkm_szervizkonyv-16345859
146,HONDA CIVIC 1.6 i-DTEC Elegance EURO6 Led.Kamera.D.Klima.ŰL.Fű,4290000,2015,5.166000000000167,Piros,1597,Manuális,120,88,12,Sérülésmentes,Dízel,95700,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_i-dtec_elegance_euro6_led_kamera_d_klima_ul_fu-16343686
147,HONDA CIVIC 1.8 Sport Navi Magyar-Sok extra!,4290000,2016,4.333000000000084,Szürke (metál),1798,Manuális,141,104,10,Kitűnő,Benzin,93000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_navi_magyar-sok_extra-16569030
148,HONDA CIVIC 1.8 Elegance Leinformálható !,4190000,2015,5.666000000000167,Sötétkék (metál),1798,Manuális,141,104,11,Újszerű,Benzin,59000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_elegance_leinformalhato-15848812
149,HONDA CIVIC 1.4 Elegance MAGYAR-1.TUL-Ü.FŰTÉS-LED-KAMERA-60e KM!,4190000,2015,5.25,Fehér,1339,Manuális,99,73,12,Normál,Benzin,60727,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_elegance_magyar-1_tul-u_futes-led-kamera-60e_km-16505657
150,HONDA CIVIC 1.8 Sport,4190000,2012,8.166000000000167,Fehér,1798,Manuális,141,104,6,Kitűnő,Benzin,60276,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport-16526857
151,HONDA CIVIC 1.4 S COMFORT LINE LED KM GARANCIA,4190000,2016,4.166000000000167,Piros,1339,Manuális,99,73,6,Normál,Benzin,68606,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_s_comfort_line_led_km_garancia-16542046
152,HONDA CIVIC 1.4 Comfort,4190000,2015,5.333000000000084,Bordó (metál),1339,Manuális,99,73,7,Újszerű,Benzin,64000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16554563
153,HONDA CIVIC 1.4 Comfort LEINFORMÁLHATÓ 95-EZER KM !,3999000,2016,4,Barna (metál),1339,Manuális,99,73,12,Megkímélt,Benzin,95400,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_leinformalhato_95-ezer_km-16519004
154,HONDA CIVIC 1.8 Executive GYÖNGYHÁZMETÁL.TOLATÓKAMERA.START-STOP.TEMPOMAT.ÜLÉSFŰTÉS.VONÓHOROG.SZERVIZKÖNYV,3999000,2014,6,Fehér (metál),1798,Manuális,141,104,12,Kitűnő,Benzin,119980,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_executive_gyongyhazmetal_tolatokamera_start-stop_tempomat_ulesfutes_vonohorog_szervizkonyv-16551736
155,HONDA CIVIC 1.8 Executive SZERVIZKÖNYV. XENON. BŐR. NAVI+KAMERA. PARK.RADAR. PANORÁMA TETŐ. ÜLÉSFŰTÉS,3990000,2012,8,Szürke (metál),1798,Manuális,141,104,12,Kitűnő,Benzin,95000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_executive_szervizkonyv_xenon_bor_navi_plusz_kamera_park_radar_panorama_teto_ulesfutes-16258800
156,HONDA CIVIC 1.4 Comfort,3950000,2012,8.166000000000167,Fehér,1339,Manuális,99,73,6,Kitűnő,Benzin,57000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16401584
157,HONDA CIVIC 1.8 Sport Mo-i. 1. Tulajdonostól. Garázsban tartott,3890000,2014,5.916000000000167,Fehér (metál),1798,Manuális,141,104,6,Kitűnő,Benzin,140000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_mo-i_1_tulajdonostol_garazsban_tartott-16460589
158,HONDA CIVIC 1.8 Lifestyle,3890000,2014,6.666000000000167,Világosszürke (metál),1798,Manuális,141,104,5,Kitűnő,Benzin,62000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_lifestyle-16568011
159,HONDA CIVIC 1.4 Comfort,3888000,2015,5.75,Piros,1339,Manuális,99,73,6,Újszerű,Benzin,27580,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16385068
160,HONDA CIVIC 1.4 Elegance Ritka szín! Sérülésmentes! LED Facelift. Vonóhorog,3849000,2016,4,Narancs (metál),1339,Manuális,99,73,11,Újszerű,Benzin,112800,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_elegance_ritka_szin_serulesmentes_led_facelift_vonohorog-16544997
161,HONDA CIVIC 1.8 Sport,3790000,2013,7.583000000000084,Fehér,1798,Manuális,141,104,4,Normál,Benzin,96560,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport-16569255
162,HONDA CIVIC 1.4 Comfort NAVI.TEMPOMAT,3699000,2015,5.333000000000084,Ibolyakék (metál),1339,Manuális,99,73,10,Sérülésmentes,Benzin,69670,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_navi_tempomat-16371953
163,HONDA CIVIC 1.8 Sport,3699000,2012,8.583000000000084,Fekete (metál),1798,Manuális,141,104,12,Sérülésmentes,Benzin,92831,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport-16495431
164,HONDA CIVIC 1.4 Comfort ülésfűtés. tempomat,3699000,2015,5.666000000000167,Bordó (metál),1339,Manuális,99,73,6,Újszerű,Benzin,98600,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_ulesfutes_tempomat-16577342
